Node,Num,X,Y,Z,UX,UY,UZ
83.0,0.182,0.06,0.0,-0.06578084627684166,0.04820625949812218,-4.139909698740301,
84.0,0.182,0.063,0.0,-0.06881880913919661,0.06349720134282541,-4.221665775884841,
85.0,0.182,0.066,0.0,-0.07158512845915961,0.07949103481713511,-4.283423808809466,
86.0,0.182,0.069,0.0,-0.07406565595285174,0.09609693198951752,-4.324668440897749,
87.0,0.182,0.072,0.0,-0.07625735433746975,0.1132225268824872,-4.344996151902077,
88.0,0.182,0.075,0.0,-0.07815236989596532,0.130774926951841,-4.344116709949419,
89.0,0.182,0.078,0.0,-0.07975047285807026,0.1486607525744111,-4.321853992804693,
90.0,0.182,0.081,0.0,-0.08104915462495359,0.166787077900793,-4.278146268658946,
91.0,0.182,0.084,0.0,-0.08205133473381362,0.1850615707438167,-4.213045859388931,
92.0,0.182,0.087,0.0,-0.0827591873160689,0.2033933179449008,-4.12671824136885,
93.0,0.182,0.09,0.0,-0.08317890950093768,0.2216930607886861,-4.019440543240174,
94.0,0.182,0.093,0.0,-0.0833168475445449,0.2398739098740651,-3.891599479726044,
95.0,0.182,0.096,0.0,-0.0831824450495595,0.2578516456808254,-3.743688704097371,
96.0,0.182,0.099,0.0,-0.08278577710559018,0.2755453379048125,-3.576305611695434,
97.0,0.182,0.102,0.0,-0.08213937773785858,0.2928776785091344,-3.390147593176045,
98.0,0.182,0.105,0.0,-0.08125662192383715,0.3097755184203273,-3.186007768227145,
99.0,0.182,0.108,0.0,-0.0801528750689336,0.3261702044672514,-2.964770210177051,
100.0,0.182,0.111,0.0,-0.07884436360540498,0.3419980422120083,-2.727404693426323,
101.0,0.182,0.114,0.0,-0.0773489362134423,0.3572006125847267,-2.474960983083119,
102.0,0.182,0.117,0.0,-0.07568517979728469,0.3717251670039134,-2.208562701575257,
103.0,0.182,0.12,0.0,-0.0738729976522025,0.3855249018382582,-1.929400798662294,
104.0,0.182,0.123,0.0,-0.0719327849441084,0.3985592926273924,-1.638726663584235,
105.0,0.182,0.126,0.0,-0.06988599458363552,0.4107943028458793,-1.337844911512712,
106.0,0.182,0.129,0.0,-0.06775419614495712,0.4222026702125646,-1.028105888003595,
107.0,0.182,0.132,0.0,-0.06555981059725542,0.4327640172950588,-0.7108979286751119,
108.0,0.182,0.135,0.0,-0.06332483634093991,0.4424651192893774,-0.3876394241913789,
109.0,0.182,0.138,0.0,-0.06107199817127245,0.4512998607629186,-0.05977073520327793,
110.0,0.182,0.141,0.0,-0.05882281292860972,0.4592695511200873,0.2712539798470157,
111.0,0.182,0.144,0.0,-0.05659954698514972,0.4663826193989822,0.6039749571147481,
112.0,0.182,0.147,0.0,-0.05442205722918168,0.4726551226335028,0.9369349699177236,
113.0,0.182,0.15,0.0,-0.05231125902934817,0.4781099593808801,1.268687382257069,
114.0,0.182,0.153,0.0,-0.05028368625400867,0.4827778829747428,1.597804279749616,
115.0,0.182,0.156,0.0,-0.0483578207623,0.4866957890908893,1.922884723058497,
116.0,0.182,0.159,0.0,-0.04654426556121294,0.4899088827905561,2.242562483354273,
117.0,0.182,0.162,0.0,-0.04485776552173817,0.4924671394538027,2.555507323066544,
118.0,0.182,0.165,0.0,-0.0432983655587016,0.4944298501780962,2.860408588389093,
119.0,0.182,0.168,0.0,-0.04187523316632871,0.4958585558324543,3.155932431051862,
120.0,0.182,0.171,0.0,-0.04056624998473563,0.4968262981124635,3.440741450308504,
121.0,0.182,0.174,0.0,-0.03936910817209276,0.497406159488528,3.713877931778251,
122.0,0.182,0.177,0.0,-0.03820426050918002,0.4976866354733051,3.976188820586812,
123.0,0.0,0.18,0.0,0.0370845827155783,0.4977796302504795,4.231888289539421,
124.0,0.17902,0.18,0.0,-0.03708417905643176,0.4988967762485871,4.252559956948273,
125.0,0.17603,0.18,0.0,-0.03710566804070385,0.5000164032599697,4.274387242436172,
