
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  Y     X     Z   

        8   0.179016393443E-001    0.00000000000         0.00000000000     
     7752   0.179016393443E-001    0.00000000000         0.00000000000     
    15322   0.179016393443E-001    0.00000000000        0.250000000000E-002
    15262   0.179016393443E-001    0.00000000000        0.500000000000E-002
    15202   0.179016393443E-001    0.00000000000        0.750000000000E-002
    15142   0.179016393443E-001    0.00000000000        0.100000000000E-001
     3790   0.179016393443E-001    0.00000000000        0.125000000000E-001
    11354   0.179016393443E-001    0.00000000000        0.125000000000E-001
        9   0.208852459016E-001    0.00000000000         0.00000000000     
     7753   0.208852459016E-001    0.00000000000         0.00000000000     
    15323   0.208852459016E-001    0.00000000000        0.250000000000E-002
    15263   0.208852459016E-001    0.00000000000        0.500000000000E-002

   NODE        X                   Y                   Z
    15203   0.208852459016E-001    0.00000000000        0.750000000000E-002
    15143   0.208852459016E-001    0.00000000000        0.100000000000E-001
     3791   0.208852459016E-001    0.00000000000        0.125000000000E-001
    11355   0.208852459016E-001    0.00000000000        0.125000000000E-001
       10   0.238688524590E-001    0.00000000000         0.00000000000     
     7754   0.238688524590E-001    0.00000000000         0.00000000000     
    15324   0.238688524590E-001    0.00000000000        0.250000000000E-002
    15264   0.238688524590E-001    0.00000000000        0.500000000000E-002
    15204   0.238688524590E-001    0.00000000000        0.750000000000E-002
    15144   0.238688524590E-001    0.00000000000        0.100000000000E-001
     3792   0.238688524590E-001    0.00000000000        0.125000000000E-001
    11356   0.238688524590E-001    0.00000000000        0.125000000000E-001
       11   0.268524590164E-001    0.00000000000         0.00000000000     
     7755   0.268524590164E-001    0.00000000000         0.00000000000     
    15325   0.268524590164E-001    0.00000000000        0.250000000000E-002
    15265   0.268524590164E-001    0.00000000000        0.500000000000E-002
    15205   0.268524590164E-001    0.00000000000        0.750000000000E-002
    15145   0.268524590164E-001    0.00000000000        0.100000000000E-001
     3793   0.268524590164E-001    0.00000000000        0.125000000000E-001
    11357   0.268524590164E-001    0.00000000000        0.125000000000E-001

   NODE        X                   Y                   Z
       12   0.298360655738E-001    0.00000000000         0.00000000000     
     7756   0.298360655738E-001    0.00000000000         0.00000000000     
    15326   0.298360655738E-001    0.00000000000        0.250000000000E-002
    15266   0.298360655738E-001    0.00000000000        0.500000000000E-002
    15206   0.298360655738E-001    0.00000000000        0.750000000000E-002
    15146   0.298360655738E-001    0.00000000000        0.100000000000E-001
     3794   0.298360655738E-001    0.00000000000        0.125000000000E-001
    11358   0.298360655738E-001    0.00000000000        0.125000000000E-001
       13   0.328196721312E-001    0.00000000000         0.00000000000     
     7757   0.328196721312E-001    0.00000000000         0.00000000000     
    15327   0.328196721312E-001    0.00000000000        0.250000000000E-002
    15267   0.328196721312E-001    0.00000000000        0.500000000000E-002
    15207   0.328196721312E-001    0.00000000000        0.750000000000E-002
    15147   0.328196721312E-001    0.00000000000        0.100000000000E-001
     3795   0.328196721312E-001    0.00000000000        0.125000000000E-001
    11359   0.328196721312E-001    0.00000000000        0.125000000000E-001
       14   0.358032786885E-001    0.00000000000         0.00000000000     
     7758   0.358032786885E-001    0.00000000000         0.00000000000     
    15328   0.358032786885E-001    0.00000000000        0.250000000000E-002
    15268   0.358032786885E-001    0.00000000000        0.500000000000E-002

   NODE        X                   Y                   Z
    15208   0.358032786885E-001    0.00000000000        0.750000000000E-002
    15148   0.358032786885E-001    0.00000000000        0.100000000000E-001
     3796   0.358032786885E-001    0.00000000000        0.125000000000E-001
    11360   0.358032786885E-001    0.00000000000        0.125000000000E-001
       15   0.387868852459E-001    0.00000000000         0.00000000000     
     7759   0.387868852459E-001    0.00000000000         0.00000000000     
    15329   0.387868852459E-001    0.00000000000        0.250000000000E-002
    15269   0.387868852459E-001    0.00000000000        0.500000000000E-002
    15209   0.387868852459E-001    0.00000000000        0.750000000000E-002
    15149   0.387868852459E-001    0.00000000000        0.100000000000E-001
     3797   0.387868852459E-001    0.00000000000        0.125000000000E-001
    11361   0.387868852459E-001    0.00000000000        0.125000000000E-001
       16   0.417704918033E-001    0.00000000000         0.00000000000     
     7760   0.417704918033E-001    0.00000000000         0.00000000000     
    15330   0.417704918033E-001    0.00000000000        0.250000000000E-002
    15270   0.417704918033E-001    0.00000000000        0.500000000000E-002
    15210   0.417704918033E-001    0.00000000000        0.750000000000E-002
    15150   0.417704918033E-001    0.00000000000        0.100000000000E-001
