

  *****  INDEX OF DATA SETS ON RESULTS FILE  *****

   SET   TIME/FREQ    LOAD STEP   SUBSTEP  CUMULATIVE
     1  210.17             1         1         1                  
     2  351.12             1         2         2                  
     3  835.73             1         3         3                  
     4  1045.0             1         4         4                  
     5  1179.9             1         5         5                  
     6  1268.7             1         6         6                  
     7  1621.9             1         7         7                  
     8  1727.4             1         8         8                  
     9  1863.1             1         9         9                  
    10  2043.9             1        10        10                  
