

  *****  INDEX OF DATA SETS ON RESULTS FILE  *****

   SET   TIME/FREQ    LOAD STEP   SUBSTEP  CUMULATIVE
     1  210.28             1         1         1                  
     2  351.10             1         2         2                  
     3  835.93             1         3         3                  
     4  1043.9             1         4         4                  
     5  1178.5             1         5         5                  
     6  1269.2             1         6         6                  
     7  1622.1             1         7         7                  
     8  1726.6             1         8         8                  
     9  1862.5             1         9         9                  
    10  2042.0             1        10        10                  
